0𝟎0𝟎00
1𝟏1𝟏11
2𝟐2𝟐22
3𝟑3𝟑33
4𝟒4𝟒44
5𝟓5𝟓55
6𝟔6𝟔66
7𝟕7𝟕77
8𝟖8𝟖88
9𝟗9𝟗99
A𝐀𝐴𝑨𝒜𝓐
B𝐁𝐵𝑩ℬ𝓑
C𝐂𝐶𝑪𝒞𝓒
D𝐃𝐷𝑫𝒟𝓓
E𝐄𝐸𝑬ℰ𝓔
F𝐅𝐹𝑭ℱ𝓕
G𝐆𝐺𝑮𝒢𝓖
H𝐇𝐻𝑯ℋ𝓗
I𝐈𝐼𝑰ℐ𝓘
J𝐉𝐽𝑱𝒥𝓙
K𝐊𝐾𝑲𝒦𝓚
L𝐋𝐿𝑳ℒ𝓛
M𝐌𝑀𝑴ℳ𝓜
N𝐍𝑁𝑵𝒩𝓝
O𝐎𝑂𝑶𝒪𝓞
P𝐏𝑃𝑷𝒫𝓟
Q𝐐𝑄𝑸𝒬𝓠
R𝐑𝑅𝑹ℛ𝓡
S𝐒𝑆𝑺𝒮𝓢
T𝐓𝑇𝑻𝒯𝓣
U𝐔𝑈𝑼𝒰𝓤
V𝐕𝑉𝑽𝒱𝓥
W𝐖𝑊𝑾𝒲𝓦
X𝐗𝑋𝑿𝒳𝓧
Y𝐘𝑌𝒀𝒴𝓨
Z𝐙𝑍𝒁𝒵𝓩
a𝐚𝑎𝒂𝒶𝓪
b𝐛𝑏𝒃𝒷𝓫
c𝐜𝑐𝒄𝒸𝓬
d𝐝𝑑𝒅𝒹𝓭
e𝐞𝑒𝒆ℯ𝓮
f𝐟𝑓𝒇𝒻𝓯
g𝐠𝑔𝒈ℊ𝓰
h𝐡ℎ𝒉𝒽𝓱
i𝐢𝑖𝒊𝒾𝓲
j𝐣𝑗𝒋𝒿𝓳
k𝐤𝑘𝒌𝓀𝓴
l𝐥𝑙𝒍𝓁𝓵
m𝐦𝑚𝒎𝓂𝓶
n𝐧𝑛𝒏𝓃𝓷
o𝐨𝑜𝒐ℴ𝓸
p𝐩𝑝𝒑𝓅𝓹
q𝐪𝑞𝒒𝓆𝓺
r𝐫𝑟𝒓𝓇𝓻
s𝐬𝑠𝒔𝓈𝓼
t𝐭𝑡𝒕𝓉𝓽
u𝐮𝑢𝒖𝓊𝓾
v𝐯𝑣𝒗𝓋𝓿
w𝐰𝑤𝒘𝓌𝔀
x𝐱𝑥𝒙𝓍𝔁
y𝐲𝑦𝒚𝓎𝔂
z𝐳𝑧𝒛𝓏𝔃
Α𝚨𝛢𝜜ΑΑ
Β𝚩𝛣𝜝ΒΒ
Γ𝚪𝛤𝜞ΓΓ
Δ𝚫𝛥𝜟ΔΔ
Ε𝚬𝛦𝜠ΕΕ
Ζ𝚭𝛧𝜡ΖΖ
Η𝚮𝛨𝜢ΗΗ
Θ𝚯𝛩𝜣ΘΘ
Ι𝚰𝛪𝜤ΙΙ
Κ𝚱𝛫𝜥ΚΚ
Λ𝚲𝛬𝜦ΛΛ
Μ𝚳𝛭𝜧ΜΜ
Ν𝚴𝛮𝜨ΝΝ
Ξ𝚵𝛯𝜩ΞΞ
Ο𝚶𝛰𝜪ΟΟ
Π𝚷𝛱𝜫ΠΠ
Ρ𝚸𝛲𝜬ΡΡ
Θ𝚹𝛳𝜭ΘΘ
𝚺Σ𝛴𝜮𝚺𝚺
Τ𝚻𝛵𝜯ΤΤ
Υ𝚼𝛶𝜰ΥΥ
Φ𝚽𝛷𝜱ΦΦ
Χ𝚾𝛸𝜲ΧΧ
Ψ𝚿𝛹𝜳ΨΨ
Ω𝛀𝛺𝜴ΩΩ
∇𝛁𝛻𝜵∇∇
α𝛂𝛼𝜶αα
β𝛃𝛽𝜷ββ
γ𝛄𝛾𝜸γγ
δ𝛅𝛿𝜹δδ
ε𝛆𝜀𝜺εε
ζ𝛇𝜁𝜻ζζ
η𝛈𝜂𝜼ηη
θ𝛉𝜃𝜽θθ
ι𝛊𝜄𝜾ιι
κ𝛋𝜅𝜿κκ
λ𝛌𝜆𝝀λλ
μ𝛍𝜇𝝁μμ
ν𝛎𝜈𝝂νν
ξ𝛏𝜉𝝃ξξ
ο𝛐𝜊𝝄οο
π𝛑𝜋𝝅ππ
ρ𝛒𝜌𝝆ρρ
ς𝛓𝜍𝝇ςς
σ𝛔𝜎𝝈σσ
τ𝛕𝜏𝝉ττ
υ𝛖𝜐𝝊υυ
φ𝛗𝜑𝝋φφ
χ𝛘𝜒𝝌χχ
ψ𝛙𝜓𝝍ψψ
ω𝛚𝜔𝝎ωω
∂𝛛𝜕𝝏∂∂
ε𝛜𝜖𝝐εε
ϑ𝛝𝜗𝝑ϑϑ
ϰ𝛞𝜘𝝒ϰϰ
ϕ𝛟𝜙𝝓ϕϕ
ϱ𝛠𝜚𝝔ϱϱ
ϖ𝛡𝜛𝝕ϖϖ
